dataset,data_type,method,train_size,test_size,mae,mse,status,generated_size,mae_improvement,mse_improvement
bike,original,N/A,3475,13904,4.673475258918297,94.79358457997698,success,,,
bike,enhanced,GAN,5475,13904,4.770281933256617,96.91930379746836,success,2000.0,-2.071406586642032,-2.2424716049195488
bike,enhanced,GREAT_round3,9268,13904,5.0397727272727275,232.64305235903336,success,5793.0,-7.837796244998457,-145.42067207380828
bike,enhanced,GREAT_round5,6950,13904,5.271936133486767,273.8812571921749,success,3475.0,-12.805478608802707,-188.92383214087906
boston,original,N/A,101,405,3.4866666666666664,27.01859259259259,success,,,
boston,enhanced,GAN,2101,405,4.310370370370371,59.5788888888889,success,2000.0,-23.624389207563222,-120.51070456283881
boston,enhanced,GREAT_round3,269,405,4.407654320987655,59.68041975308642,success,168.0,-26.41455987536297,-120.8864860320237
boston,enhanced,GREAT_round5,202,405,3.84716049382716,34.34343209876543,success,101.0,-10.339211104029461,-27.110366615398828
